         1511993 function calls (1485993 primitive calls) in 15.543 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2121    0.007    0.000    0.018    0.000 enum.py:250(__set_name__)
   103275    0.015    0.000    0.018    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.018    0.018 art3d.py:1(<module>)
        2    0.000    0.000    0.018    0.009 figure.py:644(add_subplot)
        2    0.000    0.000    0.018    0.009 _base.py:579(__init__)
89254/89194    0.014    0.000    0.017    0.000 {built-in method builtins.getattr}
      216    0.000    0.000    0.017    0.000 _parser.py:970(parse)
      980    0.001    0.000    0.017    0.000 __init__.py:748(__setitem__)
       32    0.000    0.000    0.017    0.001 _base.py:73(wrapper)
        2    0.000    0.000    0.016    0.008 axis.py:2183(set_ticks)
        2    0.000    0.000    0.016    0.008 axis.py:2165(_set_tick_locations)
  446/216    0.001    0.000    0.016    0.000 _parser.py:451(_parse_sub)
      130    0.002    0.000    0.016    0.000 bezier.py:283(axis_aligned_extrema)
  506/243    0.006    0.000    0.016    0.000 _parser.py:511(_parse)
      360    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1547(find_spec)
        1    0.000    0.000    0.015    0.015 qt_compat.py:1(<module>)
      360    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1518(_get_spec)
        1    0.000    0.000    0.015    0.015 Image.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _iotools.py:1(<module>)
        1    0.000    0.000    0.015    0.015 qt_compat.py:66(_setup_pyqt5plus)
      741    0.003    0.000    0.015    0.000 artist.py:1188(_update_props)
      696    0.005    0.000    0.015    0.000 inspect.py:2369(_signature_from_function)
        1    0.000    0.000    0.015    0.015 cm.py:1(<module>)
  120/115    0.000    0.000    0.014    0.000 typing.py:574(__getitem__)
        1    0.000    0.000    0.014    0.014 geo.py:1(<module>)
      115    0.000    0.000    0.014    0.000 typing.py:753(Union)
        2    0.000    0.000    0.014    0.007 core.py:198(read_style_directory)
        1    0.001    0.001    0.014    0.014 backend_qt.py:567(__init__)
186583/185415    0.013    0.000    0.014    0.000 {built-in method builtins.len}
        8    0.000    0.000    0.013    0.002 axis.py:856(clear)
        1    0.000    0.000    0.013    0.013 _dtype_like.py:1(<module>)
        2    0.000    0.000    0.013    0.007 pyplot.py:1373(cla)
        2    0.000    0.000    0.013    0.007 _base.py:1418(cla)
      572    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1620(find_spec)
  196/132    0.000    0.000    0.013    0.000 spines.py:340(get_spine_transform)
    10249    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
      625    0.000    0.000    0.013    0.000 artist.py:1226(_internal_update)
  196/132    0.000    0.000    0.012    0.000 spines.py:203(_ensure_position_is_set)
    16/12    0.000    0.000    0.012    0.001 spines.py:300(set_position)
       60    0.000    0.000    0.012    0.000 typing.py:1446(__or__)
      460    0.000    0.000    0.012    0.000 artist.py:146(<lambda>)
      457    0.012    0.000    0.012    0.000 {built-in method builtins.dir}
     6879    0.006    0.000    0.012    0.000 inspect.py:2722(__init__)
       79    0.000    0.000    0.012    0.000 __init__.py:287(compile)
      460    0.000    0.000    0.012    0.000 artist.py:1237(set)
      135    0.002    0.000    0.012    0.000 lines.py:287(__init__)
     2639    0.005    0.000    0.012    0.000 enum.py:350(__setitem__)
        1    0.000    0.000    0.012    0.012 offsetbox.py:1(<module>)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
    89419    0.011    0.000    0.011    0.000 {method 'lstrip' of 'str' objects}
   101616    0.011    0.000    0.011    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.011    0.011 axis.py:1(<module>)
      456    0.000    0.000    0.011    0.000 artist.py:1530(number_of_parameters)
      200    0.000    0.000    0.011    0.000 pyplot.py:176(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.011    0.011 overrides.py:1(<module>)
        1    0.000    0.000    0.011    0.011 polar.py:1(<module>)
        1    0.000    0.000    0.010    0.010 backend_bases.py:2609(__init__)
      216    0.000    0.000    0.010    0.000 _compiler.py:571(_code)
       94    0.001    0.000    0.009    0.000 __init__.py:1447(_preprocess_data)
      114    0.000    0.000    0.009    0.000 text.py:104(__init__)
        1    0.000    0.000    0.009    0.009 lines.py:1(<module>)
        1    0.003    0.003    0.009    0.009 backend_qt.py:676(__init__)
     10/5    0.000    0.000    0.009    0.002 deprecation.py:442(wrapper)
        5    0.000    0.000    0.009    0.002 pyplot.py:3919(scatter)
      208    0.002    0.000    0.009    0.000 _polynomial_impl.py:163(roots)
        1    0.000    0.000    0.009    0.009 textpath.py:1(<module>)
        5    0.000    0.000    0.009    0.002 __init__.py:1518(inner)
    85/58    0.004    0.000    0.009    0.000 backend_agg.py:248(_prepare_font)
      984    0.000    0.000    0.009    0.000 artist.py:1536(is_alias)
      281    0.000    0.000    0.009    0.000 markers.py:220(__init__)
        5    0.000    0.000    0.009    0.002 _axes.py:4746(scatter)
     1138    0.001    0.000    0.009    0.000 colors.py:277(to_rgba)
        8    0.000    0.000    0.009    0.001 axis.py:2234(_get_tick_boxes_siblings)
        2    0.000    0.000    0.008    0.004 __init__.py:326(__getattr__)
        1    0.000    0.000    0.008    0.008 image.py:1(<module>)
      281    0.001    0.000    0.008    0.000 markers.py:299(_set_marker)
25804/25770    0.005    0.000    0.008    0.000 {built-in method builtins.hasattr}
      319    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1210(get_data)
      714    0.000    0.000    0.008    0.000 colors.py:223(is_color_like)
      100    0.000    0.000    0.008    0.000 pyplot.py:209(_add_pyplot_note)
     4409    0.003    0.000    0.008    0.000 artist.py:1549(aliased_name)
      426    0.000    0.000    0.008    0.000 rcsetup.py:332(validate_color)
        4    0.000    0.000    0.008    0.002 axis.py:2449(_update_label_position)
       17    0.000    0.000    0.008    0.000 axis.py:1617(_copy_tick_props)
        1    0.000    0.000    0.007    0.007 _array_like.py:1(<module>)
 1081/216    0.003    0.000    0.007    0.000 _compiler.py:37(_compile)
      712    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:304(acquire)
     2028    0.003    0.000    0.007    0.000 copy.py:62(copy)
16649/16642    0.006    0.000    0.007    0.000 {method 'join' of 'str' objects}
      108    0.000    0.000    0.007    0.000 artist.py:784(set_clip_path)
        1    0.000    0.000    0.007    0.007 numeric.py:1(<module>)
        1    0.000    0.000    0.007    0.007 axis3d.py:1(<module>)
        1    0.000    0.000    0.007    0.007 font_manager.py:1(<module>)
       51    0.000    0.000    0.007    0.000 lines.py:1338(update_from)
2755/2579    0.001    0.000    0.007    0.000 {built-in method builtins.next}
   215/85    0.000    0.000    0.006    0.000 _base.py:928(get_xaxis_transform)
        4    0.000    0.000    0.006    0.002 axis.py:2676(_update_label_position)
   206/80    0.000    0.000    0.006    0.000 _base.py:1010(get_yaxis_transform)
        2    0.000    0.000    0.006    0.003 common.py:1(<module>)
        1    0.000    0.000    0.006    0.006 colorizer.py:1(<module>)
    44229    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      199    0.001    0.000    0.006    0.000 colors.py:324(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.006    0.006 quiver.py:1(<module>)
      130    0.001    0.000    0.006    0.000 text.py:157(_reset_visual_defaults)
  2975/51    0.003    0.000    0.006    0.000 copy.py:119(deepcopy)
     2125    0.003    0.000    0.006    0.000 enum.py:1048(_add_member_)
    63664    0.006    0.000    0.006    0.000 {built-in method builtins.min}
   204/51    0.001    0.000    0.006    0.000 copy.py:218(_deepcopy_dict)
      114    0.006    0.000    0.006    0.000 lines.py:744(draw)
      967    0.004    0.000    0.006    0.000 inspect.py:3010(__init__)
        1    0.000    0.000    0.006    0.006 ExifTags.py:1(<module>)
        1    0.000    0.000    0.006    0.006 common.py:8(pyparsing_common)
     7746    0.002    0.000    0.006    0.000 __init__.py:778(__getitem__)
      393    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:416(__enter__)
      265    0.001    0.000    0.005    0.000 overrides.py:142(decorator)
      136    0.000    0.000    0.005    0.000 patches.py:307(get_transform)
       48    0.000    0.000    0.005    0.000 __init__.py:1403(_add_data_doc)
       24    0.000    0.000    0.005    0.000 axis.py:957(set_tick_params)
     1128    0.001    0.000    0.005    0.000 copy.py:248(_reconstruct)
        3    0.000    0.000    0.005    0.002 offsetbox.py:651(draw)
     9410    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
       40    0.000    0.000    0.005    0.000 axis.py:234(set_clip_path)
        1    0.001    0.001    0.005    0.005 helpers.py:1(<module>)
      377    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       19    0.000    0.000    0.005    0.000 rcsetup.py:814(validate_cycler)
    56/15    0.000    0.000    0.005    0.000 typing.py:1452(__getitem__)
