cuda
Execution time: 3.6003365516662598 seconds
         2518875 function calls (2475024 primitive calls) in 7.201 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20/16    0.000    0.000    0.062    0.004 axis.py:1115(set_clip_path)
        8    0.000    0.000    0.060    0.007 axis.py:845(clear)
        1    0.000    0.000    0.059    0.059 server_process_global_profiler.py:1(<module>)
    28/20    0.000    0.000    0.056    0.003 axis.py:534(__get__)
  128/117    0.001    0.000    0.056    0.000 _docstring.py:122(__call__)
      930    0.019    0.000    0.056    0.000 <frozen posixpath>:391(realpath)
       31    0.006    0.000    0.054    0.002 __init__.py:884(_rc_params_in_file)
      675    0.004    0.000    0.053    0.000 typing.py:753(Union)
        1    0.000    0.000    0.053    0.053 _fontconfig_pattern.py:1(<module>)
        4    0.001    0.000    0.052    0.013 core.py:1(<module>)
      447    0.007    0.000    0.051    0.000 wrappers.py:249(_out_wrapper)
        1    0.000    0.000    0.050    0.050 fake_tensor.py:1(<module>)
        1    0.000    0.000    0.050    0.050 _index_tricks_impl.py:1(<module>)
      964    0.003    0.000    0.049    0.000 _ops.py:1016(__init__)
    24/20    0.001    0.000    0.048    0.002 axis.py:888(reset_ticks)
       14    0.000    0.000    0.047    0.003 _docstring.py:73(__missing__)
    23/17    0.000    0.000    0.047    0.003 axis.py:367(__init__)
      336    0.008    0.000    0.047    0.000 _polynomial_impl.py:163(roots)
     4542    0.008    0.000    0.046    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.046    0.046 defmatrix.py:1(<module>)
    22/16    0.000    0.000    0.045    0.003 axis.py:428(__init__)
        1    0.000    0.000    0.044    0.044 _linalg.py:1(<module>)
        1    0.000    0.000    0.044    0.044 colors.py:1(<module>)
     9730    0.024    0.000    0.043    0.000 inspect.py:2726(__init__)
        1    0.000    0.000    0.042    0.042 art3d.py:1(<module>)
        2    0.000    0.000    0.042    0.021 __init__.py:2627(registerOp)
        1    0.000    0.000    0.042    0.042 _python_dispatch.py:1(<module>)
        1    0.000    0.000    0.042    0.042 _axes.py:67(Axes)
      151    0.001    0.000    0.040    0.000 font_manager.py:1293(findfont)
     1032    0.004    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
        2    0.000    0.000    0.040    0.020 __config__.py:1(<module>)
       32    0.000    0.000    0.039    0.001 _base.py:73(wrapper)
        2    0.000    0.000    0.039    0.019 axis.py:2172(set_ticks)
        2    0.000    0.000    0.039    0.019 axis.py:2154(_set_tick_locations)
    390/3    0.002    0.000    0.039    0.013 text.py:65(_get_text_metrics_with_cache)
     15/2    0.000    0.000    0.039    0.019 text.py:73(_get_text_metrics_with_cache_impl)
      255    0.001    0.000    0.038    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.038    0.038 model.py:1(<module>)
        1    0.000    0.000    0.038    0.038 function.py:1(<module>)
        8    0.000    0.000    0.037    0.005 axis.py:761(_set_scale)
        1    0.000    0.000    0.037    0.037 nested_tensor.py:1(<module>)
      789    0.007    0.000    0.037    0.000 artist.py:1188(_update_props)
     29/2    0.140    0.005    0.037    0.019 backend_agg.py:206(get_text_width_height_descent)
        8    0.000    0.000    0.037    0.005 scale.py:120(set_default_locators_and_formatters)
     1122    0.002    0.000    0.037    0.000 <frozen importlib._bootstrap>:416(__enter__)
     4542    0.016    0.000    0.037    0.000 <frozen importlib._bootstrap>:124(setdefault)
      980    0.002    0.000    0.037    0.000 __init__.py:748(__setitem__)
  521/255    0.002    0.000    0.036    0.000 _parser.py:451(_parse_sub)
        1    0.000    0.000    0.036    0.036 nested_int.py:1(<module>)
        8    0.000    0.000    0.036    0.004 ticker.py:452(__init__)
        8    0.000    0.000    0.035    0.004 ticker.py:575(set_useMathText)
    18054    0.029    0.000    0.035    0.000 _ops.py:1010(<genexpr>)
  585/283    0.014    0.000    0.035    0.000 _parser.py:511(_parse)
11655/10795    0.014    0.000    0.035    0.000 {built-in method __new__ of type object at 0x7294dba7beb0}
