         1570618 function calls (1544761 primitive calls) in 62.714 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
9210/8151    0.003    0.000    0.006    0.000 artist.py:315(stale)
      104    0.001    0.000    0.006    0.000 bezier.py:247(polynomial_coefficients)
      967    0.004    0.000    0.006    0.000 inspect.py:3010(__init__)
      528    0.000    0.000    0.006    0.000 font_manager.py:961(copy)
     2491    0.001    0.000    0.006    0.000 <frozen abc>:117(__instancecheck__)
    25598    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
    14410    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
       24    0.000    0.000    0.006    0.000 ticker.py:2226(__call__)
        1    0.000    0.000    0.006    0.006 common.py:1(<module>)
     8073    0.003    0.000    0.006    0.000 __init__.py:698(_get)
       83    0.002    0.000    0.005    0.000 lines.py:672(recache)
        1    0.000    0.000    0.005    0.005 PngImagePlugin.py:1(<module>)
      368    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.005    0.005 common.py:8(pyparsing_common)
      319    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.005    0.005 _array_like.py:1(<module>)
       24    0.000    0.000    0.005    0.000 ticker.py:2230(tick_values)
     1501    0.003    0.000    0.005    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
     9410    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
        1    0.001    0.001    0.005    0.005 helpers.py:1(<module>)
       19    0.000    0.000    0.005    0.000 rcsetup.py:814(validate_cycler)
      131    0.000    0.000    0.005    0.000 text.py:1316(set_fontproperties)
       48    0.000    0.000    0.005    0.000 __init__.py:1403(_add_data_doc)
     2491    0.001    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
  906/862    0.001    0.000    0.005    0.000 contextlib.py:145(__exit__)
    22/18    0.000    0.000    0.005    0.000 axis.py:1206(_set_lim)
        1    0.000    0.000    0.005    0.005 category.py:1(<module>)
       46    0.002    0.000    0.005    0.000 __init__.py:355(namedtuple)
       22    0.001    0.000    0.005    0.000 typing.py:2993(__new__)
     3787    0.004    0.000    0.005    0.000 enum.py:818(__setattr__)
      624    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
       65    0.003    0.000    0.005    0.000 {built-in method builtins.eval}
       23    0.000    0.000    0.005    0.000 patches.py:633(draw)
     3017    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        1    0.000    0.000    0.005    0.005 scale.py:1(<module>)
     1648    0.003    0.000    0.005    0.000 cbook.py:2010(_setattr_cm)
       23    0.000    0.000    0.005    0.000 patches.py:583(_draw_paths_with_artist_properties)
       24    0.001    0.000    0.005    0.000 ticker.py:2157(_raw_ticks)
      581    0.003    0.000    0.005    0.000 cbook.py:1742(normalize_kwargs)
       24    0.000    0.000    0.005    0.000 axis.py:1538(get_minorticklocs)
        8    0.000    0.000    0.005    0.001 axis.py:761(_set_scale)
       95    0.000    0.000    0.005    0.000 font_manager.py:1293(findfont)
      306    0.001    0.000    0.004    0.000 transforms.py:804(from_extents)
        2    0.000    0.000    0.004    0.002 version.py:1(<module>)
        8    0.000    0.000    0.004    0.001 scale.py:103(set_default_locators_and_formatters)
        3    0.000    0.000    0.004    0.001 patches.py:2293(__init_subclass__)
      208    0.000    0.000    0.004    0.000 _function_base_impl.py:2517(__call__)
       12    0.000    0.000    0.004    0.000 core.py:1145(parse_string)
        6    0.000    0.000    0.004    0.001 patches.py:2335(pprint_styles)
        1    0.000    0.000    0.004    0.004 artist.py:1(<module>)
  206/194    0.000    0.000    0.004    0.000 _base.py:865(viewLim)
        1    0.000    0.000    0.004    0.004 shape_base.py:1(<module>)
      116    0.000    0.000    0.004    0.000 artist.py:1215(update)
      208    0.000    0.000    0.004    0.000 _function_base_impl.py:2487(_call_as_normal)
 2071/471    0.002    0.000    0.004    0.000 <frozen abc>:121(__subclasscheck__)
        5    0.000    0.000    0.004    0.001 _base.py:2916(autoscale_view)
       13    0.000    0.000    0.004    0.000 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.004    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
       48    0.000    0.000    0.004    0.000 ticker.py:214(format_ticks)
      337    0.002    0.000    0.004    0.000 artist.py:179(__init__)
 2071/471    0.002    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.004    0.004 table.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
        5    0.000    0.000    0.004    0.001 collections.py:242(get_datalim)
     3612    0.002    0.000    0.004    0.000 {built-in method builtins.delattr}
      697    0.002    0.000    0.004    0.000 functools.py:36(update_wrapper)
      208    0.001    0.000    0.004    0.000 _function_base_impl.py:2593(_vectorize_call)
      143    0.000    0.000    0.004    0.000 path.py:413(iter_bezier)
     1398    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        8    0.001    0.000    0.004    0.000 backend_qt.py:721(_icon)
      153    0.000    0.000    0.004    0.000 font_manager.py:556(wrapper)
       22    0.000    0.000    0.004    0.000 typing.py:2974(_make_nmtuple)
     1029    0.003    0.000    0.004    0.000 font_manager.py:700(__hash__)
       64    0.001    0.000    0.004    0.000 deprecation.py:414(make_keyword_only)
     3568    0.003    0.000    0.004    0.000 __init__.py:100(check_in_list)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
      704    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
     7566    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
      464    0.001    0.000    0.004    0.000 typing.py:173(_type_check)
      670    0.001    0.000    0.004    0.000 fromnumeric.py:51(_wrapfunc)
   306/12    0.001    0.000    0.004    0.000 core.py:806(_parseNoCache)
       87    0.000    0.000    0.004    0.000 font_manager.py:1363(_find_fonts_by_props)
      148    0.000    0.000    0.004    0.000 transforms.py:1472(transform)
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
     1442    0.003    0.000    0.003    0.000 {built-in method posix.stat}
    72/12    0.000    0.000    0.003    0.000 core.py:4123(parseImpl)
        1    0.000    0.000    0.003    0.003 __init__.py:245(_check_versions)
      312    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
        8    0.000    0.000    0.003    0.000 collections.py:1025(__init__)
      597    0.002    0.000    0.003    0.000 typing.py:1809(__hash__)
       10    0.000    0.000    0.003    0.000 _base.py:2975(handle_single_axis)
      647    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
       23    0.003    0.000    0.003    0.000 backend_agg.py:93(draw_path)
        1    0.000    0.000    0.003    0.003 Image.py:344(preinit)
      600    0.001    0.000    0.003    0.000 artist.py:102(_stale_axes_callback)
        1    0.000    0.000    0.003    0.003 _axes.py:218(legend)
      153    0.001    0.000    0.003    0.000 font_manager.py:656(__init__)
       88    0.000    0.000    0.003    0.000 artist.py:1243(_cm_set)
     2505    0.001    0.000    0.003    0.000 typing.py:1122(_is_unpacked_typevartuple)
        1    0.000    0.000    0.003    0.003 cm.py:32(_gen_cmap_registry)
